Season,Role,First Name,Last Name,Sport,Enrollment Status,Nomination Approved,Nomination Claimed,Carding Level,Level Category,Sex of Competition,Nccp Number,Full Name
Summer,Athlete,Henry,Kirwan,Rugby,Active,True,True,D,Canadian Elite,Male,,Henry Kirwan
Summer,Athlete,Yuri,Kisil,Swimming,Active,True,True,SR1,Canadian Elite,Male,,Yuri Kisil
Summer,Athlete,Kristen,Kit,Rowing,Active,True,True,SR1,Canadian Elite,Female,,Kristen Kit
Summer,Athlete,Justyn,Knight,Athletics,,True,False,SR,Canadian Elite,,,Justyn Knight
Summer,Athlete,Jamie,Knight-Lebel,Soccer,,True,False,SR,Canadian Elite,,,Jamie Knight-Lebel
Summer,Athlete,Finlay,Knox,Swimming,Active,True,True,SR1,Canadian Elite,Male,,Finlay Knox
Winter,Athlete,Ashley,Koehler,Freestyle Ski,Incomplete,True,False,D,Canadian Elite,Female,,Ashley Koehler
Summer,Athlete,Ismael,Kone,Soccer,,True,False,SR,Canadian Elite,,,Ismael Kone
Summer,Athlete,Grace,Konrad,Athletics,Incomplete,True,False,SR2 ,Canadian Elite,Female,,Grace Konrad
Summer,Athlete,Melanie,Labelle,Wheelchair Rugby,,True,False,SR,Canadian Elite,,,Melanie Labelle
Summer,Athlete,Cloe,Lacasse,Soccer,,True,False,SR,Canadian Elite,,,Cloe Lacasse
Summer,Athlete,Brent,Lakatos,Wheelchair Athletics,,True,False,SR1,Canadian Elite,,,Brent Lakatos
Summer,Athlete,Geneviève,Lalonde,Athletics,Active,True,True,SR,Canadian Elite,Female,,Geneviève Lalonde
Winter,Athlete,Simon,Lamarche,Para Cross-Country Ski,Expired,True,True,D,Canadian Elite,Male,,Simon Lamarche
Summer,Athlete,Melissa,Langegger,Volleyball,Active,True,True,SR,Canadian Elite,Female,,Melissa Langegger
Summer,Athlete,Claudia,Laos Loo,Karate,Active,True,True,SR,Canadian Elite,Female,,Claudia Laos Loo
Summer,Athlete,Michael,Laplaine-Pereira,Rugby,Incomplete,True,False,D,Canadian Elite,Male,,Michael Laplaine-Pereira
Summer,Athlete,Marcia,LaPlante,Field Hockey,,True,False,SR,Canadian Elite,,,Marcia LaPlante
Summer,Athlete,Cyle,Larin,Soccer,,True,False,SR,Canadian Elite,,,Cyle Larin
Summer,Athlete,Clarissa,Larisey,Soccer,,True,False,SR,Canadian Elite,,,Clarissa Larisey
Winter,Athlete,Florence,Laroche,Freestyle Ski,Incomplete,True,False,D,Canadian Elite,Female,,Florence Laroche
Summer,Athlete,Richmond,Laryea,Soccer,,True,False,SR,Canadian Elite,,,Richmond Laryea
Summer,Athlete,Fabien,Lavoie,Wheelchair Rugby,,True,False,SR2 ,Canadian Elite,,,Fabien Lavoie
Summer,Athlete,Jessica,Law,Para Cycling,Active,True,True,D,Canadian Elite,Female,,Jessica Law
Summer,Athlete,Ashley,Lawrence,Soccer,,True,False,SR,Canadian Elite,,,Ashley Lawrence
Summer,Athlete,Emma,Lawson,Water Polo,Active,True,True,GamePlan - Retired,Canadian Elite,Female,,Emma Lawson
Summer,Athlete,Kathleen,Leahy,Field Hockey,Incomplete,True,False,GamePlan - Retired,Canadian Elite,Female,,Kathleen Leahy
Summer,Athlete,Marie-Eloise,Leclair,Athletics,,True,False,SR1,Canadian Elite,,,Marie-Eloise Leclair
Summer,Athlete,Audrey,Leduc,Athletics,,True,False,SR1,Canadian Elite,,,Audrey Leduc
Summer,Athlete,Victor,Lefebvre,Rowing,Active,True,True,D,Canadian Elite,Male,,Victor Lefebvre
Summer,Athlete,Adriana,Leon,Soccer,,True,False,SR,Canadian Elite,,,Adriana Leon
Summer,Athlete,Pierce,Lepage,Athletics,,True,False,SR2 ,Canadian Elite,,,Pierce Lepage
Winter,Athlete,Raphael,Lessard,Alpine Ski,,True,False,SR,Canadian Elite,,,Raphael Lessard
Summer,Athlete,Anthony,Letourneau,Wheelchair Rugby,,True,False,SR2 ,Canadian Elite,,,Anthony Letourneau
Summer,Athlete,Marie,Levasseur,Soccer,,True,False,SR,Canadian Elite,,,Marie Levasseur
Winter,Athlete,Jessie,Linton,Freestyle Ski,Incomplete,True,False,SR1,Canadian Elite,,,Jessie Linton
Summer,Athlete,Coltyn,Liu,Volleyball,Expired,True,True,D,Canadian Elite,Male,,Coltyn Liu
Summer,Athlete,Tara,Llanes,Wheelchair Basketball,Active,True,True,SR,Canadian Elite,Female,,Tara Llanes
Summer,Athlete,Aliyah,Logan,Athletics,,True,False,D,Canadian Elite,,,Aliyah Logan
Summer,Athlete,Aiden,Longcroft-Harris,Triathlon,Active,True,True,D,Canadian Elite,Male,,Aiden Longcroft-Harris
Winter,Athlete,Andrew,Longino,Freestyle Ski,,True,False,SR,Canadian Elite,,,Andrew Longino
Winter,Athlete,Melissa,Lotholz,Bobsleigh,,True,False,SR,Canadian Elite,,,Melissa Lotholz
Summer,Athlete,Noah,Louie,Field Hockey,Active,True,True,D,Canadian Elite,Male,,Noah Louie
Summer,Athlete,Keira,Lu,Diving,Active,True,True,D,Canadian Elite,Female,,Keira Lu
Summer,Athlete,Sienna,MacDonald,Athletics,Active,True,True,D,Canadian Elite,Female,,Sienna MacDonald
Winter,Athlete,Brendan,MacKay,Freestyle Ski,Incomplete,True,False,SR1,Canadian Elite,Male,,Brendan MacKay
Winter,Athlete,Rylind,MacKinnon,Hockey,,True,False,D,Canadian Elite,,,Rylind MacKinnon
Winter,Athlete,Hailey,MacLeod,Hockey,,True,False,D,Canadian Elite,,,Hailey MacLeod
Summer,Athlete,Zachary,Madell,Wheelchair Rugby,Active,True,True,SR2 ,Canadian Elite,Any/Combined,,Zachary Madell
Summer,Athlete,Jacqueline,Madogo,Athletics,,True,False,SR1,Canadian Elite,,,Jacqueline Madogo
Summer,Athlete,Shannon,Mah,Netball,Active,True,True,D,Canadian Elite,Female,,Shannon Mah
Winter,Athlete,Emeraude,Maheux,Snowboard,Active,True,True,SR,Canadian Elite,Female,,Emeraude Maheux
Winter,Athlete,Kris,Mahler,Ski Cross,,True,False,SR,Canadian Elite,,,Kris Mahler
Summer,Athlete,Brian,Malfesi,Canoe Kayak,Active,True,True,GamePlan - Retired,Canadian Elite,Male,,Brian Malfesi
Summer,Athlete,Foster,Malleck,Athletics,,True,False,D,Canadian Elite,,,Foster Malleck
Summer,Athlete,Zakary,Mama-Yari,Athletics,Active,True,True,D,Canadian Elite,Male,,Zakary Mama-Yari
Summer,Athlete,Flores,Marcelo,Soccer,,True,False,SR,Canadian Elite,,,Flores Marcelo
Winter,Athlete,Dylan,Marineau,Freestyle Ski,,True,False,SR,Canadian Elite,,,Dylan Marineau
Winter,Athlete,Evan,Marineau,Freestyle Ski,,True,False,D,Canadian Elite,,,Evan Marineau
Summer,Athlete,Giancarlo,Marquez,Water Polo,Active,True,True,D,Canadian Elite,Male,,Giancarlo Marquez
Summer,Athlete,Liam,Marrison,Squash,,True,False,SR,Canadian Elite,,,Liam Marrison
Summer,Athlete,Jahkeele,Marshall-Rutty,Soccer,,True,False,SR,Canadian Elite,,,Jahkeele Marshall-Rutty
Summer,Athlete,Emily,Martin,Athletics,,True,False,D,Canadian Elite,,,Emily Martin
Winter,Athlete,Alex,Massie,Para Snowboard,,True,False,SR1,Canadian Elite,,,Alex Massie
Summer,Athlete,Ceili,McCabe,Athletics,Incomplete,True,True,SR,Canadian Elite,Female,,Ceili McCabe
Summer,Athlete,Sade,McCreath,Athletics,,True,False,SR1,Canadian Elite,,,Sade McCreath
Summer,Athlete,William,McCreight,Wheelchair Rugby,Incomplete,True,False,D,Canadian Elite,Male,,William McCreight
Summer,Athlete,Flynn,McCulloch,Field Hockey,Active,True,True,D,Canadian Elite,Male,,Flynn McCulloch
Winter,Athlete,Evan,McEachran,Freestyle Ski,,True,False,SR,Canadian Elite,,,Evan McEachran
Winter,Athlete,Abby,McEwen,Ski Cross,Incomplete,True,False,SR2 ,Canadian Elite,Female,,Abby McEwen
Summer,Athlete,Thomas,McGill,Soccer,,True,False,SR,Canadian Elite,,,Thomas McGill
Summer,Athlete,Alison,McKay,Beach Volleyball,Active,True,True,GamePlan - Retired,Canadian Elite,Female,,Alison McKay
Summer,Athlete,Hayley,McKelvey,Water Polo,Active,True,True,SR1,Canadian Elite,Female,,Hayley McKelvey
Winter,Athlete,Audrey,McManiman,Snowboard,Incomplete,True,False,SR,Canadian Elite,Female,,Audrey McManiman
Summer,Athlete,Ashley,McMillan,Swimming,,True,False,SR2 ,Canadian Elite,,,Ashley McMillan
Winter,Athlete,Mark,McMorris,Snowboard,Active,True,True,SR1,Canadian Elite,Male,,Mark McMorris
Summer,Athlete,Talon,McMullin,Rugby,Active,True,True,D,Canadian Elite,Male,,Talon McMullin
Summer,Athlete,Kiefer,McNaughton,Field Hockey,Active,True,True,D,Canadian Elite,Male,,Kiefer McNaughton
Summer,Athlete,Hugh,McNeill,Swimming,Active,True,True,SR,Canadian Elite,Male,,Hugh McNeill
Summer,Athlete,Riley,Melanson,Canoe Kayak,Active,True,True,SR,Canadian Elite,Female,,Riley Melanson
Summer,Athlete,Gregoire,Mercier-Noël,Volleyball,Active,True,True,D,Canadian Elite,Male,,Gregoire Mercier-Noël
Summer,Athlete,Maya,Meschkuleit,Rowing,Active,True,True,SR,Canadian Elite,Female,,Maya Meschkuleit
Summer,Athlete,Bruce,Millar,Para Sailing,Active,True,True,SR,Canadian Elite,Any/Combined,,Bruce Millar
Summer,Athlete,Kamal,Millar,Soccer,,True,False,SR,Canadian Elite,,,Kamal Millar
Winter,Athlete,Hannah,Miller,Hockey,Active,True,True,SR,Canadian Elite,Female,,Hannah Miller
Summer,Athlete,Liam,Miller,Soccer,,True,False,SR,Canadian Elite,,,Liam Miller
Summer,Athlete,Brogan,Mior,Rugby,,True,False,D,Canadian Elite,,,Brogan Mior
Winter,Athlete,Kelsey,Mitchell,Bobsleigh,Incomplete,True,False,SR,Canadian Elite,Female,,Kelsey Mitchell
Winter,Athlete,Matthew,Mitchell,Speed Skating,Active,True,True,C1,Canadian Elite,Male,,Matthew Mitchell
Summer,Athlete,Sarah,Mitton,Athletics,Active,True,True,SR2 ,Canadian Elite,Female,,Sarah Mitton
Summer,Athlete,Jill,Moffatt,Rowing,Active,True,True,SR1,Canadian Elite,Female,,Jill Moffatt
Winter,Athlete,Max,Moffatt,Freestyle Ski,,True,False,SR,Canadian Elite,,,Max Moffatt
Winter,Athlete,Alexandra,Montminy,Freestyle Ski,,True,False,D,Canadian Elite,,,Alexandra Montminy
Summer,Athlete,Christopher,Morales Williams,Athletics,,True,False,SR,Canadian Elite,,,Christopher Morales Williams
Summer,Athlete,Josiah,Morra,Rugby,,True,False,SR,Canadian Elite,,,Josiah Morra
Winter,Athlete,Nadia,Moser,Biathlon,Active,True,True,GamePlan - Retired,Canadian Elite,Female,,Nadia Moser
Winter,Athlete,Kenny,M’Pindou,Bobsleigh,Incomplete,True,False,D,Canadian Elite,,,Kenny M’Pindou
Winter,Athlete,Evelyn,Mullie,Freestyle Ski,Incomplete,True,False,D,Canadian Elite,Female,,Evelyn Mullie
Summer,Athlete,Travis,Murao,Wheelchair Rugby,,True,False,SR2 ,Canadian Elite,,,Travis Murao
Summer,Athlete,Keira,Murphy,Cycling,Active,True,True,D,Canadian Elite,Female,,Keira Murphy
Summer,Athlete,Malachi,Murray,Athletics,,True,False,SR1,Canadian Elite,,,Malachi Murray
Winter,Athlete,Shaquille,Murray-Lawrence,Bobsleigh,Active,True,True,SR,Canadian Elite,Male,,Shaquille Murray-Lawrence
Summer,Athlete,Daniel,Muzaliwa,Rugby,Active,True,True,D,Canadian Elite,Male,,Daniel Muzaliwa
Winter,Athlete,Emile,Nadeau,Freestyle Ski,,True,False,SR,Canadian Elite,,,Emile Nadeau
Winter,Athlete,Philippe,Nadreau,Para Snowboard,,True,False,SR1,Canadian Elite,,,Philippe Nadreau
Summer,Athlete,Keira,Neal,Sitting Volleyball,Active,True,True,D,Canadian Elite,Female,,Keira Neal
Summer,Athlete,Alexandra,Neish Duncan,Equestrian,,True,False,SR,Canadian Elite,,,Alexandra Neish Duncan
Summer,Athlete,Jayden,Nelson,Soccer,,True,False,SR,Canadian Elite,,,Jayden Nelson
Summer,Athlete,Alysha,Newman,Athletics,,True,False,SR1,Canadian Elite,,,Alysha Newman
Summer,Athlete,Cody,Nhanala,Rugby,Active,True,True,GamePlan - Retired,Canadian Elite,Male,,Cody Nhanala
Summer,Athlete,Breanne,Nicholas,Rugby,Active,True,True,SR,Canadian Elite,Female,,Breanne Nicholas
Winter,Athlete,Anthony,Noel,Freestyle Ski,,True,False,D,Canadian Elite,,,Anthony Noel
Summer,Athlete,Devohn,Noronha Teixeira,Field Hockey,Active,True,True,SR,Canadian Elite,Male,,Devohn Noronha Teixeira
Winter,Athlete,Patrick,Norton,Bobsleigh,,True,False,SR,Canadian Elite,,,Patrick Norton
Summer,Athlete,Donna,Ntambue,Athletics,,True,False,D,Canadian Elite,,,Donna Ntambue
Winter,Athlete,Kurt,Oatway,Alpine Ski,Incomplete,True,False,SR,Canadian Elite,Male,,Kurt Oatway
Summer,Athlete,Kate,O’Brien,Cycling,Active,True,True,SR1,Canadian Elite,Female,,Kate O’Brien
Winter,Athlete,Meryeta,Odine,Snowboard,Active,True,True,SR,Canadian Elite,Female,,Meryeta Odine
Winter,Athlete,Gabrielle,Oetomo,Speed Skating,,True,False,C1,Canadian Elite,,,Gabrielle Oetomo
Winter,Athlete,Shane,Ohrt,Bobsleigh,,True,False,SR,Canadian Elite,,,Shane Ohrt
Summer,Athlete,Favour,Okpali,Athletics,,True,False,SR,Canadian Elite,,,Favour Okpali
Winter,Athlete,Bruce,Oldham,Freestyle Ski,Incomplete,True,False,D,Canadian Elite,Male,,Bruce Oldham
Winter,Athlete,Megan,Oldham,Freestyle Ski,Active,True,True,SR1,Canadian Elite,Female,,Megan Oldham
Summer,Athlete,Isaac,Olson,Rugby,Active,True,True,D,Canadian Elite,Male,,Isaac Olson
Summer,Athlete,Tani,Oluwaseyi,Soccer,,True,False,SR,Canadian Elite,,,Tani Oluwaseyi
Summer,Athlete,Julia,Omokhuale,Rugby,Active,True,True,D,Canadian Elite,Female,,Julia Omokhuale
Summer,Athlete,John,O'Reilly,Athletics,,True,False,D,Canadian Elite,,,John O'Reilly
Winter,Athlete,Eric,Orlowsky,Speed Skating,,True,False,C1,Canadian Elite,,,Eric Orlowsky
Summer,Athlete,Jonathan,Osorio,Soccer,,True,False,SR,Canadian Elite,,,Jonathan Osorio
Summer,Athlete,Justin,O'Toole,Athletics,,True,False,SR,Canadian Elite,,,Justin O'Toole
Summer,Athlete,Ella,Ottey,Soccer,,True,False,SR,Canadian Elite,,,Ella Ottey
Summer,Athlete,Guillaume,Ouellet,Para Athletics,,True,False,SR2 ,Canadian Elite,,,Guillaume Ouellet
Summer,Athlete,Brooke,Overholt,Athletics,,True,False,SR,Canadian Elite,,,Brooke Overholt
Summer,Athlete,Matthew,Oworu,Rugby,Active,True,True,SR,Canadian Elite,Male,,Matthew Oworu
Summer,Athlete,Sukhpal,Panesar,Field Hockey,,True,False,GamePlan - Retired,Canadian Elite,,,Sukhpal Panesar
Summer,Athlete,James,Pantemis,Soccer,,True,False,SR,Canadian Elite,,,James Pantemis
Summer,Athlete,Marrissa,Papaconstantinou,Para Athletics,,True,False,SR1,Canadian Elite,,,Marrissa Papaconstantinou
Winter,Athlete,Madeline,Parra,Skeleton,Active,True,True,D,Canadian Elite,Female,,Madeline Parra
Summer,Athlete,Janette,Peachey,Rowing,,True,False,D,Canadian Elite,,,Janette Peachey
Summer,Athlete,Katie,Pegg,Para Athletics,Active,True,True,SR1,Canadian Elite,Female,,Katie Pegg
Winter,Athlete,Benita,Peiffer,Biathlon,Active,True,True,SR,Canadian Elite,Female,,Benita Peiffer
Summer,Athlete,Taylor,Perry,Rugby,Incomplete,True,False,SR,Canadian Elite,Female,,Taylor Perry
Winter,Athlete,Samuel,Peters,Para Alpine Ski,Active,True,True,D,Canadian Elite,Male,,Samuel Peters
Winter,Athlete,Brittany,Phelan,Ski Cross,Active,True,True,SR1,Canadian Elite,Female,,Brittany Phelan
Summer,Athlete,Timothy,Piasentin,Baseball,,True,False,D,Canadian Elite,,,Timothy Piasentin
Summer,Athlete,Samuel,Piette,Soccer,,True,False,SR,Canadian Elite,,,Samuel Piette
Summer,Athlete,Kaylee,Plouffe,Volleyball,Incomplete,True,False,D,Canadian Elite,,,Kaylee Plouffe
Summer,Athlete,Simone,Plourde,Athletics,,True,False,SR,Canadian Elite,,,Simone Plourde
Summer,Athlete,Marie-Frederique,Poulin,Athletics,,True,False,D,Canadian Elite,,,Marie-Frederique Poulin
Summer,Athlete,Sabrina,Poulin,Rugby,Incomplete,True,False,SR,Canadian Elite,Female,,Sabrina Poulin
Summer,Athlete,Dawson,Pratt,Volleyball,,True,False,D,Canadian Elite,,,Dawson Pratt
Summer,Athlete,Delaney Baie,Pridham,Soccer,,True,False,SR,Canadian Elite,,,Delaney Baie Pridham
Winter,Athlete,Victor,Primeau,Freestyle Ski,,True,False,SR1,Canadian Elite,,,Victor Primeau
Summer,Athlete,Nichelle,Prince,Soccer,,True,False,SR,Canadian Elite,,,Nichelle Prince
Summer,Athlete,Cameron,Proceviat,Athletics,Active,True,True,SR,Canadian Elite,Male,,Cameron Proceviat
Summer,Athlete,Dianna,Proctor,Athletics,,True,False,D,Canadian Elite,,,Dianna Proctor
Summer,Athlete,Lysianne,Proulx,Soccer,,True,False,SR,Canadian Elite,,,Lysianne Proulx
Winter,Athlete,Luke,Puto,Bobsleigh,Incomplete,True,False,D,Canadian Elite,Male,,Luke Puto
Summer,Athlete,George,Quarcoo,Para Athletics,,True,False,SR,Canadian Elite,,,George Quarcoo
Summer,Athlete,Quinn,Quinn,Soccer,,True,False,SR,Canadian Elite,,,Quinn Quinn
Summer,Athlete,Yanick,Racicot,Wheelchair Rugby,,True,False,SR,Canadian Elite,,,Yanick Racicot
Summer,Athlete,Ryder,Rattee,Athletics,,True,False,D,Canadian Elite,,,Ryder Rattee
Winter,Athlete,Jeffrey,Read,Alpine Ski,Active,True,True,SR,Canadian Elite,Male,,Jeffrey Read
Winter,Athlete,Sebastien,Regnier,Skeleton,Active,True,True,D,Canadian Elite,Male,,Sebastien Regnier
Summer,Athlete,Megan,Reid,Soccer,,True,False,SR,Canadian Elite,,,Megan Reid
Summer,Athlete,Ashlyn,Renneberg,Para Athletics,Active,True,True,SR,Canadian Elite,Female,,Ashlyn Renneberg
Winter,Athlete,Bianca,Ribi,Bobsleigh,Incomplete,True,False,SR,Canadian Elite,Female,,Bianca Ribi
Summer,Athlete,David,Richard,Rugby,Active,True,True,SR,Canadian Elite,Male,,David Richard
Winter,Athlete,Dawn,Richardson Wilson,Bobsleigh,Incomplete,True,False,SR,Canadian Elite,Female,,Dawn Richardson Wilson
Summer,Athlete,Tianna,Rissling,Para Athletics,,True,False,D,Canadian Elite,,,Tianna Rissling
Summer,Athlete,Jayde,Riviere,Soccer,,True,False,SR,Canadian Elite,,,Jayde Riviere
Summer,Athlete,Kevin,Robertson,Athletics,Active,True,True,D,Canadian Elite,Male,,Kevin Robertson
Summer,Athlete,Kevin A,Robertson,Athletics,Active,True,True,D,Canadian Elite,Male,,Kevin A Robertson
Summer,Athlete,Mahalia,Robinson,Rugby,,True,False,D,Canadian Elite,,,Mahalia Robinson
Summer,Athlete,Kim,Robitaille,Volleyball,Active,True,True,SR,Canadian Elite,Female,,Kim Robitaille
Summer,Athlete,Brendon,Rodney,Athletics,,True,False,SR1,Canadian Elite,,,Brendon Rodney
Summer,Athlete,Deanne,Rose,Soccer,,True,False,SR,Canadian Elite,,,Deanne Rose
Summer,Athlete,Jade,Rose,Soccer,,True,False,SR,Canadian Elite,,,Jade Rose
Summer,Athlete,Justin,Rose,Athletics,,True,False,D,Canadian Elite,,,Justin Rose
Summer,Athlete,Nyah,Rose,Soccer,,True,False,SR,Canadian Elite,,,Nyah Rose
Winter,Athlete,Charlotte,Ross,Bobsleigh,Active,True,True,D,Canadian Elite,Female,,Charlotte Ross
Winter,Athlete,Gavin,Rowell,Ski Cross,Incomplete,True,False,SR2 ,Canadian Elite,Male,,Gavin Rowell
Winter,Athlete,Brian,Rowland,Para Alpine Ski,Incomplete,True,True,SR,Canadian Elite,Male,,Brian Rowland
Summer,Athlete,Taylor,Ruck,Swimming,Active,True,True,SR1,Canadian Elite,Female,,Taylor Ruck
Summer,Athlete,Amanda,Rummery,Para Athletics,,True,False,SR1,Canadian Elite,,,Amanda Rummery
Summer,Athlete,Jacen,Russell-Rowe,Soccer,,True,False,SR,Canadian Elite,,,Jacen Russell-Rowe
Summer,Athlete,Aurora,Rynda,Athletics,,True,False,D,Canadian Elite,,,Aurora Rynda
Summer,Athlete,Kal,Sager,Rugby,,True,False,SR,Canadian Elite,,,Kal Sager
Summer,Athlete,Nathan-Dylan,Saliba,Soccer,,True,False,SR,Canadian Elite,,,Nathan-Dylan Saliba
Winter,Athlete,Simon,Salisbury,Skeleton,Active,True,True,D,Canadian Elite,Male,,Simon Salisbury
Summer,Athlete,Vicky,Savard,Volleyball,Active,True,True,SR,Canadian Elite,Female,,Vicky Savard
Summer,Athlete,Madeleine,Scarth,Water Polo,,True,False,D,Canadian Elite,,,Madeleine Scarth
Winter,Athlete,Hannah,Schmidt,Ski Cross,,True,False,SR,Canadian Elite,,,Hannah Schmidt
Winter,Athlete,Jared,Schmidt,Ski Cross,,True,False,SR,Canadian Elite,,,Jared Schmidt
Summer,Athlete,Jordan,Schnitzer,Volleyball,,True,False,SR,Canadian Elite,,,Jordan Schnitzer
Summer,Athlete,Oliver,Scholfield,Field Hockey,Active,True,True,SR,Canadian Elite,Male,,Oliver Scholfield
Winter,Athlete,Maia,Schwinghammer,Freestyle Ski,Active,True,True,SR1,Canadian Elite,Female,,Maia Schwinghammer
Summer,Athlete,Krissy,Scurfield,Rugby,,True,False,SR1,Canadian Elite,,,Krissy Scurfield
Winter,Athlete,Brodie,Seger,Alpine Ski,Active,True,True,SR,Canadian Elite,Male,,Brodie Seger
Winter,Athlete,Riley,Seger,Alpine Ski,Active,True,True,SR1,Canadian Elite,Male,,Riley Seger
Summer,Athlete,Shoshanah,Seumanutafa,Rugby,Active,True,True,D,Canadian Elite,Female,,Shoshanah Seumanutafa
Summer,Athlete,Jacob,Shaffelburg,Soccer,,True,False,SR,Canadian Elite,,,Jacob Shaffelburg
Summer,Athlete,Junzhe(Simon),Shan,Fencing,Incomplete,True,False,D,Canadian Elite,Male,,Junzhe(Simon) Shan
Summer,Athlete,Nandini,Sharma,Wheelchair Athletics,Incomplete,True,False,SR,Canadian Elite,Female,,Nandini Sharma
Winter,Athlete,Cassie,Sharpe,Freestyle Ski,,True,False,SR1,Canadian Elite,,,Cassie Sharpe
Summer,Athlete,Jack,Shaw,Rugby,Incomplete,True,False,D,Canadian Elite,Male,,Jack Shaw
Summer,Athlete,Zoe,Sherar,Athletics,,True,False,SR1,Canadian Elite,,,Zoe Sherar
Summer,Athlete,Kailen,Sheridan,Soccer,,True,False,SR,Canadian Elite,,,Kailen Sheridan
Winter,Athlete,India,Sherret,Ski Cross,Incomplete,True,False,SR,Canadian Elite,Female,,India Sherret
Summer,Athlete,Jinaye,Shomachuck,Athletics,,True,False,D,Canadian Elite,,,Jinaye Shomachuck
Summer,Athlete,Jazz,Shukla,Athletics,Active,True,True,SR,Canadian Elite,Female,,Jazz Shukla
Summer,Athlete,Jyoth,Sidhu,Field Hockey,Active,True,True,D,Canadian Elite,Male,,Jyoth Sidhu
Winter,Athlete,Skylar,Sieben,Bobsleigh,Incomplete,True,False,SR,Canadian Elite,Female,,Skylar Sieben
Summer,Athlete,Niko,Sigur,Soccer,,True,False,SR,Canadian Elite,,,Niko Sigur
Summer,Athlete,Patrice,Simard,Wheelchair Rugby,,True,False,SR2 ,Canadian Elite,,,Patrice Simard
Summer,Athlete,Gurpreet,Singh,Field Hockey,Active,True,True,D,Canadian Elite,Male,,Gurpreet Singh
Winter,Athlete,Amelia,Smart,Alpine Ski,Incomplete,True,False,SR,Canadian Elite,Female,,Amelia Smart
Summer,Athlete,Austin,Smeenk,Wheelchair Athletics,Incomplete,True,False,SRI,Canadian Elite,Male,,Austin Smeenk
Winter,Athlete,Beth,Smith,Speed Skating,Active,True,True,C1,Canadian Elite,Female,,Beth Smith
Winter,Athlete,Sierra,Smith,Para Alpine Ski,Incomplete,True,False,SR,Canadian Elite,Female,,Sierra Smith
Winter,Athlete,Truth,Smith,Snowboard,Active,True,True,SR,Canadian Elite,Male,,Truth Smith
Summer,Athlete,John,Smythe,Field Hockey,,True,False,GamePlan - Retired,Canadian Elite,,,John Smythe
Summer,Athlete,Janine,Sonis,Soccer,,True,False,SR,Canadian Elite,,,Janine Sonis
Summer,Athlete,Natalie,Sourisseau,Field Hockey,Active,True,True,SR,Canadian Elite,Female,,Natalie Sourisseau
Winter,Athlete,Cameron,Spalding,Snowboard,Active,True,True,SR1,Canadian Elite,Male,,Cameron Spalding
Summer,Athlete,Thomas,Staples,Sailing,Active,True,True,SR,Canadian Elite,Male,,Thomas Staples
Summer,Athlete,William,Staples,Sailing,Active,True,True,SR,Canadian Elite,Male,,William Staples
Summer,Athlete,Dayne,St. Clair,Soccer,,True,False,SR,Canadian Elite,,,Dayne St. Clair
Summer,Athlete,Kennedi,Stevenson,Rugby,,True,False,D,Canadian Elite,,,Kennedi Stevenson
Summer,Athlete,Greg,Stewart,Para Athletics,Active,True,True,SR,Canadian Elite,Male,,Greg Stewart
Summer,Athlete,Bianca,St-Georges,Soccer,,True,False,SR,Canadian Elite,,,Bianca St-Georges
Winter,Athlete,Luka,Stoikos,Bobsleigh,Incomplete,True,False,D,Canadian Elite,,,Luka Stoikos
Summer,Athlete,Savannah,Sutherland,Athletics,,True,False,SR1,Canadian Elite,,,Savannah Sutherland
Summer,Athlete,Jenica,Swartz,Athletics,,True,False,SR1,Canadian Elite,,,Jenica Swartz
Summer,Athlete,Christopher,Tardif,Field Hockey,,True,False,SR,Canadian Elite,,,Christopher Tardif
Summer,Athlete,Leanne Marie,Taylor,Para Triathlon,Active,True,True,SR,Canadian Elite,Female,,Leanne Marie Taylor
Summer,Athlete,John,Tee,Goalball,,True,False,D,Canadian Elite,,,John Tee
Winter,Athlete,Joshua,Telizyn,Speed Skating,Active,True,True,C1,Canadian Elite,Male,,Joshua Telizyn
Winter,Athlete,Marion,Thénault,Freestyle Ski,Incomplete,True,False,SR1,Canadian Elite,Female,,Marion Thénault
Summer,Athlete,Natalie,Thirsk,Para Athletics,,True,False,SR,Canadian Elite,,,Natalie Thirsk
Summer,Athlete,Chloe,Thomas,Athletics,,True,False,D,Canadian Elite,,,Chloe Thomas
Winter,Athlete,Broderick,Thompson,Alpine Ski,Incomplete,True,False,SR1,Canadian Elite,Male,,Broderick Thompson
Winter,Athlete,Marielle,Thompson,Ski Cross,Active,True,True,SR1,Canadian Elite,Female,,Marielle Thompson
Summer,Athlete,Reece,Thompson,Rugby,Active,True,True,D,Canadian Elite,Male,,Reece Thompson
Summer,Athlete,Craig,Thorne,Athletics,,True,False,SR,Canadian Elite,,,Craig Thorne
Summer,Athlete,Addy,Townsend,Athletics,Expired,True,True,SR,Canadian Elite,Female,,Addy Townsend
Summer,Athlete,Maeliss,Trapeau,Athletics,,True,False,SR,Canadian Elite,,,Maeliss Trapeau
Summer,Athlete,Nate,Tucker,Para Athletics,Incomplete,True,False,SR1,Canadian Elite,Male,,Nate Tucker
Summer,Athlete,Julia,Tunks,Athletics,,True,False,D,Canadian Elite,,,Julia Tunks
Winter,Athlete,Naomi,Urness,Freestyle Ski,Active,True,True,D,Canadian Elite,Female,,Naomi Urness
