Season,Role,First Name,Last Name,Sport,Enrollment Status,Nomination Approved,Nomination Claimed,Carding Level,Level Category,Sex of Competition,Nccp Number,Full Name
Summer,Athlete,Chelsea,Coates,Sitting Volleyball,Active,True,True,D,Canadian Elite,Female,,Chelsea Coates
Winter,Athlete,Roxy,Coatesworth,Alpine Ski,Active,True,True,D,Canadian Elite,Female,,Roxy Coatesworth
Summer,Athlete,Cooper,Coats,Rugby,Active,True,True,SR,Canadian Elite,Male,,Cooper Coats
Summer,Athlete,Sydney,Collins,Soccer,,True,False,SR,Canadian Elite,,,Sydney Collins
Winter,Athlete,Katie,Combaluzier,Para Alpine Ski,Active,True,True,SR,Canadian Elite,Female,,Katie Combaluzier
Winter,Athlete,Carson,Cook,Ski Cross,Incomplete,True,False,D,Canadian Elite,Male,,Carson Cook
Summer,Athlete,Zachary,Coombs,Field Hockey,Active,True,True,SR,Canadian Elite,Male,,Zachary Coombs
Winter,Athlete,Sam,Cordell,Freestyle Ski,Active,True,True,SR,Canadian Elite,Male,,Sam Cordell
Summer,Athlete,Harry,Corkum,Rugby,,True,False,D,Canadian Elite,,,Harry Corkum
Summer,Athlete,Dante,Cormier,Wheelchair Athletics,Active,True,False,D,Canadian Elite,Male,,Dante Cormier
Summer,Athlete,Jackson,Corneil,Volleyball,,True,False,D,Canadian Elite,,,Jackson Corneil
Summer,Athlete,Derek,Cornelius,Soccer,,True,False,SR,Canadian Elite,,,Derek Cornelius
Summer,Athlete,Alysha,Corrigan,Rugby,,True,False,SR1,Canadian Elite,,,Alysha Corrigan
Winter,Athlete,Pierre-Olivier,Cote,Freestyle Ski,,True,False,SR,Canadian Elite,,,Pierre-Olivier Cote
Summer,Athlete,Jean Phillippe,Cote Nadon,Wheelchair Rugby,,True,False,D,Canadian Elite,,,Jean Phillippe Cote Nadon
Summer,Athlete,Brendan,Cote Williamson,Para Athletics,Active,True,False,D,Canadian Elite,Male,,Brendan Cote Williamson
Summer,Athlete,Spencer,Cotie,Rugby,,True,False,D,Canadian Elite,,,Spencer Cotie
Summer,Athlete,Brooklyn,Courtnall,Soccer,,True,False,SR,Canadian Elite,,,Brooklyn Courtnall
Winter,Athlete,James,Crawford,Alpine Ski,Incomplete,True,False,SR1,Canadian Elite,Male,,James Crawford
Summer,Athlete,Maxime,Crepeau,Soccer,,True,False,SR,Canadian Elite,,,Maxime Crepeau
Summer,Athlete,Jennifer,Cross,Volleyball,Active,True,True,SR,Canadian Elite,Female,,Jennifer Cross
Summer,Athlete,Caroline,Crossley,Rugby,,True,False,SR1,Canadian Elite,,,Caroline Crossley
Summer,Athlete,Will,Crothers,Rowing,Incomplete,True,True,SR1,Canadian Elite,Male,,Will Crothers
Summer,Athlete,Taylor,Curran,Field Hockey,Active,True,True,SR,Canadian Elite,Male,,Taylor Curran
Summer,Athlete,Kate,Current,Athletics,Active,True,False,SR,Canadian Elite,Female,,Kate Current
Winter,Athlete,Euan,Currie,Ski Cross,Active,True,True,D,Canadian Elite,Male,,Euan Currie
Summer,Athlete,Landon,Currie,Volleyball,Active,True,True,SR,Canadian Elite,Male,,Landon Currie
Summer,Athlete,Melissa,Dagenais,Soccer,,True,False,SR,Canadian Elite,,,Melissa Dagenais
Summer,Athlete,Kathleen,Dandeneau,Wheelchair Basketball,Active,True,True,SR,Canadian Elite,Female,,Kathleen Dandeneau
Summer,Athlete,Sabrina,Dangelo,Soccer,,True,False,SR,Canadian Elite,,,Sabrina Dangelo
Summer,Athlete,Stefan,Daniel,Para Triathlon,Active,True,True,SR1,Canadian Elite,Male,,Stefan Daniel
Summer,Athlete,Chloe,Daniels,Rugby,,True,False,SR1,Canadian Elite,,,Chloe Daniels
Winter,Athlete,Simon,d'Artois,Freestyle Ski,Active,True,True,SR1,Canadian Elite,Male,,Simon d'Artois
Summer,Athlete,Jonathan,David,Soccer,,True,False,SR,Canadian Elite,,,Jonathan David
Summer,Athlete,Promise,David,Soccer,,True,False,SR,Canadian Elite,,,Promise David
Summer,Athlete,Alphonso,Davies,Soccer,,True,False,SR,Canadian Elite,,,Alphonso Davies
Summer,Athlete,Max,Davies,Athletics,,True,False,D,Canadian Elite,,,Max Davies
Winter,Athlete,Jay,Dearborn,Bobsleigh,Incomplete,True,False,SR,Canadian Elite,,,Jay Dearborn
Summer,Athlete,Matthew,Debly,Wheelchair Rugby,,True,False,SR2 ,Canadian Elite,,,Matthew Debly
Summer,Athlete,Taylor,De Boer,Volleyball,,True,False,D,Canadian Elite,,,Taylor De Boer
Summer,Athlete,Gabriela,DeBues-Stafford,Athletics,,True,False,SR,Canadian Elite,,,Gabriela DeBues-Stafford
Summer,Athlete,Gabriela,DeBues-Stafford,Athletics,Expired,True,True,SR,Canadian Elite,Female,,Gabriela DeBues-Stafford
Summer,Athlete,Luc,De Fougerolles,Soccer,,True,False,SR,Canadian Elite,,,Luc De Fougerolles
Summer,Athlete,Andre,De Grasse,Athletics,,True,False,SR1,Canadian Elite,,,Andre De Grasse
